,name,source,data,link
14,고구마와 '찰떡궁합'인 우유·김치… 건강에는?,헬스조선,2021-10-27T07:00:00,https://news.google.com./articles/CBMiSmh0dHBzOi8vaGVhbHRoLmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjEvMTAvMjcvMjAyMTEwMjcwMTg4Ni5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
15,고구마 민주주의 : 칼럼 : 사설.칼럼 : 뉴스,한겨레,2021-11-11T08:00:00,https://news.google.com./articles/CBMiNWh0dHBzOi8vbS5oYW5pLmNvLmtyL2FydGkvb3Bpbmlvbi9jb2x1bW4vMTAxODk5My5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
16,"[포토] 이마트24, 집에 쟁여 놓고 먹는 '가메골 왕만두·아이스군고구마' 출시",뉴데일리경제,2021-11-21T08:00:00,https://news.google.com./articles/CBMiR2h0dHBzOi8vYml6Lm5ld2RhaWx5LmNvLmtyL3NpdGUvZGF0YS9odG1sLzIwMjEvMTEvMjEvMjAyMTExMjEwMDA1Mi5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
17,"'뜨끈뜨끈' 고구마, '이렇게' 먹어야 건강 - 당신의 건강가이드 헬스조선",헬스조선,2021-11-25T08:00:00,https://news.google.com./articles/CBMiSmh0dHBzOi8vaGVhbHRoLmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjEvMTEvMjQvMjAyMTExMjQwMTMxNS5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
18,"'고구마'로 아침 때우기, 위장 건강엔 毒",헬스조선,2021-12-15T08:00:00,https://news.google.com./articles/CBMiSmh0dHBzOi8vaGVhbHRoLmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjEvMTIvMTQvMjAyMTEyMTQwMTA2Ny5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
19,연말연시 편의점 마케팅…“집콕 준비물 여기 다있다”,이지경제,2021-12-23T08:00:00,https://news.google.com./articles/CBMiPWh0dHBzOi8vd3d3LmV6eWVjb25vbXkuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xMTUzMDnSAQA?hl=ko&gl=KR&ceid=KR%3Ako
20,만 원짜리 군고구마에 줄 서는 긴자,한국경제,2021-12-27T08:54:04,https://news.google.com./articles/CAIiEGlKWrR1bDcS14m0QYl4SHMqGQgEKhAIACoHCAow0__cCjDUitABMKO_jQY?uo=CAUiPWh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS90aGVwZW4vbGlmZWlzdC9hcnRpY2xlLzIwMjExMjI3NzMxMFHSAQA&hl=ko&gl=KR&ceid=KR%3Ako
21,"군고구마 통바비큐, 군고구마통에 구워 육즙 가득 풍미UP('2TV 생생정보')",한국경제,2022-01-10T08:00:00,https://news.google.com./articles/CBMiPGh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lbnRlcnRhaW5tZW50L2FydGljbGUvMjAyMjAxMTA4Nzg3NNIBOGh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lbnRlcnRhaW5tZW50L2FtcC8yMDIyMDExMDg3ODc0?hl=ko&gl=KR&ceid=KR%3Ako
22,"삶거나, 굽거나, 그냥 먹거나… '고구마' 살 안 찌는 섭취법은?",헬스조선,2022-01-15T08:00:00,https://news.google.com./articles/CBMiSmh0dHBzOi8vaGVhbHRoLmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjIvMDEvMTQvMjAyMjAxMTQwMDk3Ni5odG1s0gEA?hl=ko&gl=KR&ceid=KR%3Ako
23,그 많던 붕어빵 어디갔나…물가상승·코로나에 '붕세권' 앱도 등장,부산일보,2022-02-02T08:00:00,https://news.google.com./articles/CBMiP2h0dHA6Ly93d3cuYnVzYW4uY29tL3ZpZXcvYml6L3ZpZXcucGhwP2NvZGU9MjAyMjAxMjYxNDQ5MzY2NTMzNNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
24,[시장동향]③겨울 정취 물씬 고구마 품은 먹거리 '손짓',산업경제뉴스,2022-02-02T08:00:00,https://news.google.com./articles/CBMiNWh0dHA6Ly93d3cuYml6bmV3cy5vci5rci9tb2JpbGUvYXJ0aWNsZS5odG1sP25vPTEyNTc10gEA?hl=ko&gl=KR&ceid=KR%3Ako
25,1월 소비자물가 3.6% ↑ 4개월 연속 3%대 상승‥외식비·집값·기름값 다 올라,데일리팝,2022-02-04T08:00:00,https://news.google.com./articles/CBMiOWh0dHBzOi8vd3d3LmRhaWx5cG9wLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz01NzY5ONIBAA?hl=ko&gl=KR&ceid=KR%3Ako
26,"맛있는 고구마, 누구나 쉽게 기를 수 있어요 : 충청 : 전국 : 뉴스",한겨레,2022-02-09T08:00:00,https://news.google.com./articles/CBMiOWh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9hcmVhL2NodW5nY2hlb25nLzEwMzAzOTguaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
27,"이마트, 바구니 물가 부담 줄이는 'e날 특가' 2차 행사 진행",데일리안,2022-02-24T08:00:00,https://news.google.com./articles/CBMiKWh0dHBzOi8vbS5kYWlsaWFuLmNvLmtyL25ld3Mvdmlldy8xMDg2NjY30gEA?hl=ko&gl=KR&ceid=KR%3Ako
28,장바구니 물가 잡기 나선 대형마트,아시아경제,2022-02-25T08:00:00,https://news.google.com./articles/CBMiMmh0dHBzOi8vY20uYXNpYWUuY28ua3IvYXJ0aWNsZS8yMDIyMDIyNTEzNTIzMjEyNTg30gE5aHR0cHM6Ly9jbS5hc2lhZS5jby5rci9hbXB2aWV3Lmh0bT9ubz0yMDIyMDIyNTEzNTIzMjEyNTg3?hl=ko&gl=KR&ceid=KR%3Ako
29,[말글살이] 선입견 : 칼럼 : 사설.칼럼 : 뉴스,한겨레,2022-02-27T08:00:00,https://news.google.com./articles/CBMiN2h0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9vcGluaW9uL2NvbHVtbi8xMDMyNzczLmh0bWzSAQA?hl=ko&gl=KR&ceid=KR%3Ako
30,기름값·외식비 계속 오른다…물가 5개월째 3%대 '고공행진',안전저널,2022-03-04T08:00:00,https://news.google.com./articles/CBMiOGh0dHBzOi8vd3d3LmFuanVuai5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTMyMTk20gEA?hl=ko&gl=KR&ceid=KR%3Ako
31,막걸리·휘발유까지 몽땅 올랐다… 경남 소비자물가 1년 넘게 상승,김해뉴스,2022-03-08T08:00:00,https://news.google.com./articles/CBMiPWh0dHA6Ly93d3cuZ2ltaGFlbmV3cy5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NDUwNzLSAQA?hl=ko&gl=KR&ceid=KR%3Ako
32,당도 높고 병에 강한 호박고구마 '호풍미' 나왔다,한국농어민신문,2022-03-08T08:00:00,https://news.google.com./articles/CBMiO2h0dHA6Ly93d3cuYWdyaW5ldC5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MzA3NzI20gEA?hl=ko&gl=KR&ceid=KR%3Ako
33,썩은 고구마 쇼핑몰 보상은?,금강일보,2022-03-17T07:00:00,https://news.google.com./articles/CBMiOGh0dHA6Ly93d3cuZ2dpbGJvLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89OTAxNjg40gE7aHR0cDovL3d3dy5nZ2lsYm8uY29tL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz05MDE2ODg?hl=ko&gl=KR&ceid=KR%3Ako
34,"'사내맞선' 고구마는 없다…안효섭♥김세정, 깜짝 키스 엔딩",한국경제,2022-03-22T07:00:00,https://news.google.com./articles/CAIiEHz8nSs0x89GBLA_WPYmmkEqGQgEKhAIACoHCAow0__cCjDUitABMLDAjQY?uo=CAUiPGh0dHBzOi8vd3d3Lmhhbmt5dW5nLmNvbS9lbnRlcnRhaW5tZW50L2FydGljbGUvMjAyMjAzMjIwODYwSNIBAA&hl=ko&gl=KR&ceid=KR%3Ako
